t,state,qr,qe,demand,inventory,period_cost,demand_low,demand_high,avg_sim_cost,dp_value
30,"(8, 0, 0)",3,0,3,5,25.0,0,4,25.200000762939453,26.702391790741192
31,"(5, 3, 1)",0,0,1,7,20.0,0,4,25.200000762939453,26.702391790741192
32,"(7, 0, 0)",3,0,1,6,30.0,0,4,25.200000762939453,26.702391790741192
33,"(6, 3, 1)",0,0,0,9,30.0,0,4,25.200000762939453,26.702391790741192
34,"(9, 0, 0)",2,0,2,7,35.0,0,4,25.200000762939453,26.702391790741192
35,"(7, 2, 1)",0,0,4,5,15.0,0,4,25.200000762939453,26.702391790741192
36,"(5, 0, 0)",4,0,3,2,10.0,0,4,25.200000762939453,26.702391790741192
37,"(2, 4, 1)",0,2,1,7,55.0,0,4,25.200000762939453,26.702391790741192
38,"(7, 0, 0)",3,0,2,5,25.0,0,4,25.200000762939453,26.702391790741192
39,"(5, 3, 1)",0,0,2,6,15.0,0,4,25.200000762939453,26.702391790741192
40,"(6, 0, 0)",4,0,0,6,30.0,0,4,25.200000762939453,26.702391790741192
41,"(6, 4, 1)",0,0,4,6,10.0,0,4,25.200000762939453,26.702391790741192
42,"(6, 0, 0)",4,0,2,4,20.0,0,4,25.200000762939453,26.702391790741192
43,"(4, 4, 1)",0,0,3,5,5.0,0,4,25.200000762939453,26.702391790741192
44,"(5, 0, 0)",4,0,1,4,20.0,0,4,25.200000762939453,26.702391790741192
45,"(4, 4, 1)",0,0,1,7,15.0,0,4,25.200000762939453,26.702391790741192
46,"(7, 0, 0)",3,0,2,5,25.0,0,4,25.200000762939453,26.702391790741192
47,"(5, 3, 1)",0,0,3,5,10.0,0,4,25.200000762939453,26.702391790741192
48,"(5, 0, 0)",4,0,3,2,10.0,0,4,25.200000762939453,26.702391790741192
49,"(2, 4, 1)",0,2,1,7,55.0,0,4,25.200000762939453,26.702391790741192
0,"(6, 0, 0)",6,0,5,1,5.0,2,6,32.5,36.90184324474275
1,"(1, 6, 1)",0,5,3,9,115.0,2,6,32.5,36.90184324474275
2,"(9, 0, 0)",6,0,3,6,30.0,2,6,32.5,36.90184324474275
3,"(6, 6, 1)",0,0,5,7,5.0,2,6,32.5,36.90184324474275
4,"(7, 0, 0)",6,0,3,4,20.0,2,6,32.5,36.90184324474275
5,"(4, 6, 1)",0,2,3,9,55.0,2,6,32.5,36.90184324474275
6,"(9, 0, 0)",6,0,3,6,30.0,2,6,32.5,36.90184324474275
7,"(6, 6, 1)",0,0,3,9,15.0,2,6,32.5,36.90184324474275
8,"(9, 0, 0)",6,0,3,6,30.0,2,6,32.5,36.90184324474275
9,"(6, 6, 1)",0,0,3,9,15.0,2,6,32.5,36.90184324474275
10,"(9, 0, 0)",6,0,5,4,20.0,2,6,32.5,36.90184324474275
11,"(4, 6, 1)",0,2,2,10,60.0,2,6,32.5,36.90184324474275
12,"(10, 0, 0)",6,0,2,8,40.0,2,6,32.5,36.90184324474275
13,"(8, 6, 1)",0,0,4,10,20.0,2,6,32.5,36.90184324474275
14,"(10, 0, 0)",6,0,4,6,30.0,2,6,32.5,36.90184324474275
15,"(6, 6, 1)",0,0,5,7,5.0,2,6,32.5,36.90184324474275
16,"(7, 0, 0)",6,0,2,5,25.0,2,6,32.5,36.90184324474275
17,"(5, 6, 1)",0,1,5,7,25.0,2,6,32.5,36.90184324474275
18,"(7, 0, 0)",6,0,5,2,10.0,2,6,32.5,36.90184324474275
19,"(2, 6, 1)",0,4,5,7,85.0,2,6,32.5,36.90184324474275
20,"(7, 0, 0)",6,0,2,5,25.0,2,6,32.5,36.90184324474275
21,"(5, 6, 1)",0,1,3,9,35.0,2,6,32.5,36.90184324474275
22,"(9, 0, 0)",6,0,2,7,35.0,2,6,32.5,36.90184324474275
23,"(7, 6, 1)",0,0,2,11,25.0,2,6,32.5,36.90184324474275
24,"(11, 0, 0)",6,0,5,6,30.0,2,6,32.5,36.90184324474275
25,"(6, 6, 1)",0,0,4,8,10.0,2,6,32.5,36.90184324474275
26,"(8, 0, 0)",6,0,5,3,15.0,2,6,32.5,36.90184324474275
27,"(3, 6, 1)",0,3,3,9,75.0,2,6,32.5,36.90184324474275
28,"(9, 0, 0)",6,0,4,5,25.0,2,6,32.5,36.90184324474275
29,"(5, 6, 1)",0,1,2,10,40.0,2,6,32.5,36.90184324474275
30,"(10, 0, 0)",6,0,5,5,25.0,2,6,32.5,36.90184324474275
