# iteration,run time [seconds],cost
49600,1472.06,16.882353140
49700,1475.06,16.882341806
49800,1478.03,16.882330517
49900,1481.01,16.882319274
50000,1484.00,16.882308075
50100,1486.98,16.882296921
50200,1489.95,16.882285812
50300,1492.93,16.882274746
50400,1495.92,16.882263725
50500,1498.90,16.882252747
50600,1501.87,16.882241813
50700,1504.86,16.882230922
50800,1507.84,16.882220073
50900,1510.81,16.882209268
51000,1513.80,16.882198504
51100,1516.78,16.882187783
51200,1519.76,16.882177104
51300,1522.73,16.882166466
51400,1525.70,16.882155870
51500,1528.67,16.882145315
51600,1531.64,16.882134801
51700,1534.62,16.882124327
51800,1537.58,16.882113894
51900,1540.55,16.882103501
52000,1543.53,16.882093148
52100,1546.50,16.882082835
52200,1549.46,16.882072561
52300,1552.43,16.882062327
52400,1555.39,16.882052131
52500,1558.36,16.882041975
52600,1561.34,16.882031857
52700,1564.32,16.882021778
52800,1567.30,16.882011736
52900,1570.28,16.882001733
53000,1573.25,16.881991767
53100,1576.23,16.881981839
53200,1579.19,16.881971949
53300,1582.16,16.881962095
53400,1585.14,16.881952278
53500,1588.11,16.881942498
53600,1591.08,16.881932755
53700,1594.07,16.881923047
53800,1597.04,16.881913376
53900,1600.02,16.881903741
54000,1602.98,16.881894141
54100,1605.96,16.881884577
54200,1608.93,16.881875048
54300,1611.90,16.881865555
54400,1614.87,16.881856096
54500,1617.83,16.881846672
54600,1620.79,16.881837282
54700,1623.77,16.881827927
54800,1626.75,16.881818606
54900,1629.71,16.881809319
55000,1632.70,16.881800065
55100,1635.66,16.881790846
55200,1638.63,16.881781659
55300,1641.60,16.881772506
55400,1644.57,16.881763386
55500,1647.54,16.881754299
55600,1650.51,16.881745244
55700,1653.47,16.881736222
55800,1656.45,16.881727232
55900,1659.42,16.881718275
56000,1662.39,16.881709349
56100,1665.36,16.881700455
56200,1668.33,16.881691593
56300,1671.30,16.881682763
56400,1674.26,16.881673963
56500,1677.23,16.881665195
56600,1680.20,16.881656458
56700,1683.17,16.881647752
56800,1686.15,16.881639076
56900,1689.12,16.881630431
57000,1692.09,16.881621816
57100,1695.06,16.881613231
57200,1698.03,16.881604677
57300,1701.01,16.881596152
57400,1703.98,16.881587657
57500,1706.95,16.881579191
57600,1709.92,16.881570755
57700,1712.89,16.881562348
57800,1715.86,16.881553970
57900,1718.83,16.881545621
58000,1721.81,16.881537301
58100,1724.80,16.881529010
58200,1727.81,16.881520747
58300,1730.79,16.881512512
58400,1733.75,16.881504306
58500,1736.70,16.881496127
58600,1739.66,16.881487977
58700,1742.61,16.881479854
58800,1745.57,16.881471759
58900,1748.54,16.881463691
59000,1751.49,16.881455651
59100,1754.45,16.881447638
59200,1757.41,16.881439652
59300,1760.37,16.881431693
59400,1763.32,16.881423761
59500,1766.29,16.881415855
59600,1769.24,16.881407976
59700,1772.19,16.881400124
59800,1775.15,16.881392297
59900,1778.11,16.881384497
60000,1781.07,16.881376723
60100,1784.02,16.881368974
60200,1786.99,16.881361252
60300,1789.95,16.881353555
60400,1792.90,16.881345883
60500,1795.87,16.881338237
60600,1798.84,16.881330616
60700,1801.81,16.881323020
60800,1804.78,16.881315449
60900,1807.75,16.881307903
61000,1810.72,16.881300382
61100,1813.68,16.881292885
61200,1816.64,16.881285413
61300,1819.60,16.881277966
61400,1822.57,16.881270542
61500,1825.54,16.881263143
61600,1828.52,16.881255767
61700,1831.49,16.881248416
61800,1834.47,16.881241088
61900,1837.44,16.881233784
62000,1840.42,16.881226504
62100,1843.39,16.881219247
62200,1846.36,16.881212013
62300,1849.33,16.881204803
62400,1852.30,16.881197616
62500,1855.27,16.881190451
62600,1858.24,16.881183310
62700,1861.21,16.881176191
62800,1864.18,16.881169095
62900,1867.15,16.881162022
63000,1870.13,16.881154971
63100,1873.10,16.881147943
63200,1876.07,16.881140936
63300,1879.05,16.881133952
63400,1882.02,16.881126990
63500,1884.99,16.881120050
63600,1887.97,16.881113131
63700,1890.94,16.881106235
63800,1893.92,16.881099359
63900,1896.89,16.881092506
64000,1899.87,16.881085674
64100,1902.87,16.881078863
64200,1905.85,16.881072073
64300,1908.83,16.881065305
64400,1911.80,16.881058557
64500,1914.77,16.881051831
64600,1917.75,16.881045125
64700,1920.73,16.881038440
64800,1923.72,16.881031776
64900,1926.69,16.881025132
65000,1929.67,16.881018509
65100,1932.64,16.881011906
65200,1935.62,16.881005323
65300,1938.59,16.880998760
65400,1941.56,16.880992218
65500,1944.55,16.880985695
65600,1947.53,16.880979192
65700,1950.52,16.880972709
65800,1953.51,16.880966246
65900,1956.51,16.880959803
66000,1959.50,16.880953379
66100,1962.48,16.880946974
66200,1965.46,16.880940589
66300,1968.45,16.880934223
66400,1971.42,16.880927876
66500,1974.40,16.880921548
66600,1977.37,16.880915239
66700,1980.35,16.880908950
66800,1983.32,16.880902679
66900,1986.27,16.880896426
67000,1989.25,16.880890193
67100,1992.22,16.880883978
67200,1995.18,16.880877781
67300,1998.15,16.880871603
67400,2001.13,16.880865444
67500,2004.09,16.880859302
67600,2007.07,16.880853179
67700,2010.03,16.880847073
67800,2012.99,16.880840986
67900,2015.94,16.880834917
68000,2018.91,16.880828865
68100,2021.86,16.880822832
68200,2024.84,16.880816816
68300,2027.80,16.880810817
68400,2030.76,16.880804837
68500,2033.73,16.880798873
68600,2036.70,16.880792927
68700,2039.67,16.880786999
68800,2042.63,16.880781087
68900,2045.59,16.880775193
69000,2048.57,16.880769316
69100,2051.54,16.880763455
69200,2054.49,16.880757612
69300,2057.46,16.880751786
69400,2060.42,16.880745976
69500,2063.38,16.880740183
69600,2066.36,16.880734407
69700,2069.32,16.880728647
69800,2072.28,16.880722904
69900,2075.24,16.880717178
70000,2078.20,16.880711467
70100,2081.15,16.880705773
70200,2084.10,16.880700095
70300,2087.06,16.880694434
70400,2090.01,16.880688788
70500,2092.96,16.880683158
70600,2095.92,16.880677545
70700,2098.89,16.880671947
